title,"[u""Brian O'Halloran"", u'Jeff Anderson', u'Rosario Dawson']"
The Shawshank Redemption,"[u'John Cusack', u'Ione Skye', u'John Mahoney']"
The Godfather,"[u'Jim Carrey', u'Danny DeVito', u'Gerry Becker']"
The Godfather: Part II,"[u'Robert De Niro', u'Harvey Keitel', u'David Proval']"
The Dark Knight,"[u'Daniel Radcliffe', u'Emma Watson', u'Rupert Grint']"
Pulp Fiction,"[u'Alec Baldwin', u'Geena Davis', u'Michael Keaton']"
12 Angry Men,"[u'Steve Carell', u'Ryan Gosling', u'Julianne Moore']"
"The Good, the Bad and the Ugly","[u'Nigel Terry', u'Helen Mirren', u'Nicholas Clay']"
The Lord of the Rings: The Return of the King,"[u'John Wayne', u'Kim Darby', u'Glen Campbell']"
Schindler's List,"[u'David Bowie', u'Jennifer Connelly', u'Toby Froud']"
Fight Club,"[u'Kathryn Beaumont', u'Ed Wynn', u'Richard Haydn']"
The Lord of the Rings: The Fellowship of the Ring,"[u'Ethan Hawke', u'Sarah Snook', u'Noah Taylor']"
Inception,"[u'Kenneth Branagh', u'Emma Thompson', u'Keanu Reeves']"
Star Wars: Episode V - The Empire Strikes Back,"[u'Sean Connery', u""Ryan O'Neal"", u'Michael Caine']"
Forrest Gump,"[u'Nicolas Cage', u'Holly Hunter', u'Trey Wilson']"
The Lord of the Rings: The Two Towers,"[u'Jack Nicholson', u'Morgan Freeman', u'Sean Hayes']"
Interstellar,"[u'Shirley MacLaine', u'Debra Winger', u'Jack Nicholson']"
One Flew Over the Cuckoo's Nest,"[u'Michael Shannon', u'Jessica Chastain', u'Shea Whigham']"
Seven Samurai,"[u'Julianne Moore', u'Dennis Quaid', u'Dennis Haysbert']"
Goodfellas,"[u'Jack Nance', u'Charlotte Stewart', u'Allen Joseph']"
Star Wars,"[u'Greta Gerwig', u'Mickey Sumner', u'Adam Driver']"
The Matrix,"[u'Macaulay Culkin', u'Joe Pesci', u'Daniel Stern']"
City of God,"[u'Jennifer Tilly', u'Gina Gershon', u'Joe Pantoliano']"
It's a Wonderful Life,"[u'Johnny Depp', u'Christina Ricci', u'Miranda Richardson']"
The Usual Suspects,"[u'Philip Seymour Hoffman', u'Bill Nighy', u'Nick Frost']"
Se7en,"[u'Noah Hathaway', u'Barret Oliver', u'Tami Stronach']"
Life Is Beautiful,"[u'Patrick Stewart', u'Hugh Jackman', u'Ian McKellen']"
Once Upon a Time in the West,"[u'Jessica Chastain', u'Joel Edgerton', u'Chris Pratt']"
The Silence of the Lambs,"[u'Woody Allen', u'Diane Keaton', u'Jerry Adler']"
Leon: The Professional,"[u'Chevy Chase', u""Beverly D'Angelo"", u'Imogene Coca']"
City Lights,"[u'Cameron Diaz', u'Abigail Breslin', u'Alec Baldwin']"
Spirited Away,"[u'Woody Allen', u'Judy Davis', u'Julia Louis-Dreyfus']"
The Intouchables,"[u'Steve Carell', u'Toni Collette', u'Allison Janney']"
Casablanca,"[u'Philip Seymour Hoffman', u'Clifton Collins Jr.', u'Catherine Keener']"
Whiplash,"[u'Morgan Freeman', u'Jessica Tandy', u'Dan Aykroyd']"
American History X,"[u'Anne Parillaud', u'Marc Duret', u'Patrick Fontana']"
Modern Times,"[u'Daniel Day-Lewis', u'Sally Field', u'David Strathairn']"
Saving Private Ryan,"[u'Bradley Cooper', u'Anna Friel', u'Abbie Cornish']"
Raiders of the Lost Ark,"[u'Dan Castellaneta', u'Julie Kavner', u'Nancy Cartwright']"
Rear Window,"[u'Sean Connery', u'Nicolas Cage', u'Ed Harris']"
Psycho,"[u'Ralph Fiennes', u'Juliette Binoche', u'Willem Dafoe']"
The Green Mile,"[u'Gerard Butler', u'Jamie Foxx', u'Leslie Bibb']"
Sunset Blvd.,"[u'Michael Douglas', u'Tobey Maguire', u'Frances McDormand']"
The Pianist,"[u'Matthew Macfadyen', u'Peter Dinklage', u'Ewen Bremner']"
The Dark Knight Rises,"[u'Ryan Gosling', u'Michelle Williams', u'John Doman']"
Gladiator,"[u'Tobey Maguire', u'Charlize Theron', u'Michael Caine']"
Terminator 2: Judgment Day,"[u'Dustin Hoffman', u'Jessica Lange', u'Teri Garr']"
Memento,"[u'Michael J. Fox', u'Christopher Lloyd', u'Mary Steenburgen']"
Taare Zameen Par,"[u'Russell Crowe', u'Paul Bettany', u'Billy Boyd']"
